    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     187      0.987377     0.0629   5.461E-03   0.0005   0.4000   3.371E-13  -1.94641822E-13   5.03504895E-11
     188      0.992838     0.0620   5.461E-03   0.0005   0.4000   3.348E-13  -2.02099361E-13   5.10099258E-11
     189      0.998299     0.0617   1.701E-03   0.0002   0.1246   3.381E-13  -2.09726567E-13   5.16874099E-11
     190             1     0.0729   5.461E-03   0.0005   0.4000   1.068E-13  -2.12068279E-13   5.19022068E-11
     191       1.00546     0.1130   5.461E-03   0.0005   0.4000   3.367E-13  -2.19986678E-13   5.26044856E-11
     192       1.01092     0.0621   5.461E-03   0.0006   0.4000   3.413E-13  -2.28015768E-13   5.33265687E-11
     193       1.01638     0.0622   5.461E-03   0.0006   0.4000   3.421E-13  -2.36221781E-13   5.40692691E-11
     194       1.02184     0.0621   5.461E-03   0.0006   0.4000   3.437E-13  -2.44611898E-13   5.48334337E-11
     195       1.02731     0.0620   5.461E-03   0.0006   0.4000   3.450E-13  -2.53187515E-13   5.56199447E-11
     196       1.03277     0.0619   5.461E-03   0.0006   0.4000   3.429E-13  -2.61953441E-13   5.64297213E-11
     197       1.03823     0.0616   5.461E-03   0.0006   0.4000   3.450E-13  -2.70912950E-13   5.72637212E-11
     198       1.04369     0.0620   5.461E-03   0.0006   0.4000   3.471E-13  -2.80070916E-13   5.81229421E-11
     199       1.04915     0.0621   5.461E-03   0.0006   0.4000   3.465E-13  -2.89429706E-13   5.90084237E-11
     200       1.05461     0.0626   5.461E-03   0.0006   0.4000   3.465E-13  -2.98993714E-13   5.99212492E-11
     201       1.06007     0.0628   5.461E-03   0.0007   0.4000   3.487E-13  -3.08767789E-13   6.08625473E-11
     202       1.06553     0.0629   5.461E-03   0.0007   0.4000   3.508E-13  -3.18754879E-13   6.18334941E-11
     203       1.07099     0.0628   5.461E-03   0.0007   0.4000   3.536E-13  -3.28962078E-13   6.28353151E-11
     204       1.07645     0.0662   5.461E-03   0.0007   0.4000   3.543E-13  -3.39389803E-13   6.38692875E-11
     205       1.08192     0.0620   5.461E-03   0.0007   0.4000   3.574E-13  -3.50047505E-13   6.49367420E-11
     206       1.08738     0.0620   5.461E-03   0.0007   0.4000   3.557E-13  -3.60933330E-13   6.60390657E-11
     207       1.09284     0.0619   5.461E-03   0.0007   0.4000   3.534E-13  -3.72057490E-13   6.71777038E-11
     208        1.0983     0.0617   1.701E-03   0.0002   0.1246   3.559E-13  -3.83423044E-13   6.83541627E-11
     209           1.1     0.0613   5.461E-03   0.0007   0.4000   1.118E-13  -3.86940593E-13   6.87285278E-11
     210       1.10546     0.1133   5.461E-03   0.0008   0.4000   3.572E-13  -3.98702111E-13   6.99569760E-11
     211       1.11092     0.0614   5.461E-03   0.0008   0.4000   3.610E-13  -4.10644910E-13   7.12269743E-11
     212       1.11638     0.0616   5.461E-03   0.0008   0.4000   3.611E-13  -4.22844786E-13   7.25402502E-11
     213       1.12184     0.0626   5.461E-03   0.0008   0.4000   3.629E-13  -4.35309944E-13   7.38986039E-11
     214       1.12731     0.0626   5.461E-03   0.0008   0.4000   3.622E-13  -4.48042997E-13   7.53039121E-11
     215       1.13277     0.0637   5.461E-03   0.0008   0.4000   3.615E-13  -4.61052596E-13   7.67581306E-11
     216       1.13823     0.0635   5.461E-03   0.0009   0.4000   3.632E-13  -4.74341513E-13   7.82632982E-11
     217       1.14369     0.0639   5.461E-03   0.0009   0.4000   3.664E-13  -4.87918199E-13   7.98215401E-11
     218       1.14915     0.0625   5.461E-03   0.0009   0.4000   3.660E-13  -5.01785659E-13   8.14350715E-11
     219       1.15461     0.0622   5.461E-03   0.0009   0.4000   3.678E-13  -5.15953971E-13   8.31062015E-11
     220       1.16007     0.0616   5.461E-03   0.0009   0.4000   3.697E-13  -5.30426088E-13   8.48373374E-11
     221       1.16553     0.0644   5.461E-03   0.0009   0.4000   3.704E-13  -5.45210214E-13   8.66309886E-11
     222       1.17099     0.0616   5.461E-03   0.0010   0.4000   3.705E-13  -5.60313331E-13   8.84897710E-11
     223       1.17645     0.0615   5.461E-03   0.0010   0.4000   3.693E-13  -5.75740876E-13   9.04164120E-11
     224       1.18192     0.0613   5.461E-03   0.0010   0.4000   3.721E-13  -5.91503167E-13   9.24137547E-11
     225       1.18738     0.0615   5.461E-03   0.0010   0.4000   3.716E-13  -6.07602949E-13   9.44847633E-11
     226       1.19284     0.0623   5.461E-03   0.0010   0.4000   3.725E-13  -6.24050024E-13   9.66325282E-11
     227        1.1983     0.0622   1.701E-03   0.0003   0.1246   3.716E-13  -6.40851516E-13   9.88602714E-11
     228           1.2     0.0623   5.461E-03   0.0011   0.4000   1.162E-13  -6.46083114E-13   9.95709373E-11
     229       1.20546     0.1139   5.461E-03   0.0011   0.4000   3.733E-13  -6.63438409E-13   1.01908681E-10
     230       1.21092     0.0620   5.461E-03   0.0011   0.4000   3.753E-13  -6.81090939E-13   1.04334386E-10
     231       1.21638     0.0617   5.461E-03   0.0011   0.4000   3.778E-13  -6.99123178E-13   1.06851752E-10
     232       1.22184     0.0617   5.461E-03   0.0012   0.4000   3.779E-13  -7.17546200E-13   1.09464637E-10
     233       1.22731     0.0618   5.461E-03   0.0012   0.4000   3.786E-13  -7.36366832E-13   1.12177063E-10
     234       1.23277     0.0618   5.461E-03   0.0012   0.4000   3.775E-13  -7.55595202E-13   1.14993224E-10
     235       1.23823     0.0619   5.461E-03   0.0012   0.4000   3.817E-13  -7.75239512E-13   1.17917494E-10
     236       1.24369     0.0626   5.461E-03   0.0013   0.4000   3.807E-13  -7.95308384E-13   1.20954434E-10
     237       1.24915     0.0629   5.461E-03   0.0013   0.4000   3.848E-13  -8.15813538E-13   1.24108799E-10
     238       1.25461     0.0629   5.461E-03   0.0013   0.4000   3.839E-13  -8.36763782E-13   1.27385549E-10
     239       1.26007     0.0626   5.461E-03   0.0013   0.4000   3.853E-13  -8.58168573E-13   1.30789855E-10
     240       1.26553     0.0619   5.461E-03   0.0014   0.4000   3.858E-13  -8.80039072E-13   1.34327111E-10
     241       1.27099     0.0622   5.461E-03   0.0014   0.4000   3.872E-13  -9.02386619E-13   1.38002941E-10
     242       1.27645     0.0624   5.461E-03   0.0014   0.4000   3.869E-13  -9.25218757E-13   1.41823211E-10
     243       1.28192     0.0625   5.461E-03   0.0015   0.4000   3.858E-13  -9.48550341E-13   1.45794038E-10
     244       1.28738     0.0622   5.461E-03   0.0015   0.4000   3.853E-13  -9.72391067E-13   1.49921801E-10
     245       1.29284     0.0621   5.461E-03   0.0015   0.4000   3.924E-13  -9.96754602E-13   1.54213154E-10
     246        1.2983     0.0618   1.701E-03   0.0005   0.1246   3.892E-13  -1.02165061E-12   1.58675037E-10
     247           1.3     0.0618   5.461E-03   0.0016   0.4000   1.218E-13  -1.02943497E-12   1.60100601E-10
     248       1.30546     0.1149   5.461E-03   0.0016   0.4000   3.904E-13  -1.05512754E-12   1.64797142E-10
     249       1.31092     0.0895   5.461E-03   0.0016   0.4000   3.890E-13  -1.08130446E-12   1.69681415E-10
