    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    1640       315.455    14.0397   1.932E-01   0.2202   0.4000   7.511E-16   2.82000083E-02   5.89474658E-04
    1660       319.319    12.8936   1.932E-01   0.2202   0.4000   7.806E-16   2.82000083E-02   5.88983980E-04
    1680       323.183    12.6576   1.932E-01   0.2200   0.4000   7.628E-16   2.82000083E-02   5.88491395E-04
    1700       327.047    12.6397   1.932E-01   0.2199   0.4000   7.437E-16   2.82000083E-02   5.87996851E-04
    1720       330.773    12.7101   1.932E-01   0.2198   0.4000   7.354E-16   2.82000083E-02   5.87518063E-04
    1740       334.637    12.7363   1.932E-01   0.2197   0.4000   7.260E-16   2.82000083E-02   5.87019536E-04
    1760         338.5    12.8626   1.932E-01   0.2195   0.4000   7.498E-16   2.82000083E-02   5.86518916E-04
    1780       342.364    12.8491   1.932E-01   0.2194   0.4000   7.778E-16   2.82000083E-02   5.86016162E-04
    1800       346.228    12.6182   1.932E-01   0.2193   0.4000   7.553E-16   2.82000083E-02   5.85511236E-04
    1820       350.092    12.7565   1.932E-01   0.2191   0.4000   7.607E-16   2.82000083E-02   5.85004100E-04
    1840       353.956    12.8171   1.932E-01   0.2190   0.4000   7.615E-16   2.82000083E-02   5.84494723E-04
    1860        357.82    13.0311   1.932E-01   0.2189   0.4000   7.905E-16   2.82000083E-02   5.83983071E-04
    1880       361.546    13.5969   1.932E-01   0.2188   0.4000   7.279E-16   2.82000083E-02   5.83487503E-04
    1900       365.409    12.7034   1.932E-01   0.2186   0.4000   7.047E-16   2.82000083E-02   5.82971303E-04
    1920       369.273    12.5956   1.932E-01   0.2185   0.4000   7.438E-16   2.82000083E-02   5.82452748E-04
    1940       373.137    12.6374   1.932E-01   0.2183   0.4000   7.506E-16   2.82000083E-02   5.81931817E-04
    1960       377.001    12.6924   1.932E-01   0.2181   0.4000   7.503E-16   2.82000083E-02   5.81408489E-04
    1980       380.865    12.7219   1.932E-01   0.2180   0.4000   7.026E-16   2.82000083E-02   5.80882747E-04
    2000       384.729    12.6233   1.932E-01   0.2179   0.4000   7.377E-16   2.82000083E-02   5.80354572E-04
    2020       388.592    12.7290   1.932E-01   0.2177   0.4000   7.159E-16   2.82000083E-02   5.79823952E-04
    2040       392.318    12.5991   1.932E-01   0.2176   0.4000   7.425E-16   2.82000083E-02   5.79309946E-04
    2060       396.182    12.6344   1.932E-01   0.2174   0.4000   7.919E-16   2.82000083E-02   5.78774489E-04
    2080       400.046    12.6524   1.932E-01   0.2173   0.4000   7.542E-16   2.82000083E-02   5.78236556E-04
    2100        403.91    12.6789   1.932E-01   0.2171   0.4000   7.334E-16   2.82000083E-02   5.77696141E-04
